player_id,date,value
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-14,31
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-21,32
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-28,32
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-04,31
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-11,30
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-18,29
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-25,30
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-01,32
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-08,32
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-15,31
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-22,31
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-29,36
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-06,33
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-13,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-20,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-27,31
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-03,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-10,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-17,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-24,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-01,34
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-08,36
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-15,39
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-22,37
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-29,41
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-03-27,3
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-03-29,3
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-05,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-12,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-19,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-26,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-03,3
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-10,3
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-17,3
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-24,4
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-31,6
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-07,8
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-14,8
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-21,4
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-28,8
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-07-05,8
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-07-12,6
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-14,21
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-21,21
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-07-28,21
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-04,23
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-11,23
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-18,24
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-08-25,20
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-01,22
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-08,26
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-15,33
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-22,109
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-09-29,112
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-06,176
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-13,1137
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-20,294
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-10-27,507
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-03,1507
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-10,1691
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-17,1087
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-11-24,1306
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-01,2522
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-08,3036
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-15,4360
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-22,4309
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2023-12-29,4767
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-05,5567
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-12,5849
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-19,6350
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-01-26,6425
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-02,6059
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-09,6159
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-16,6203
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-02-23,6145
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-03-27,5946
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-03-29,5918
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-05,5932
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-12,5974
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-19,5673
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-04-26,5960
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-03,4279
0085c77f-3f22-52ea-a4fb-e95ee5e04cd4,2024-05-10,4309
