player_id,date,value
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-14,51
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-21,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-07-28,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-04,52
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-11,51
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-18,52
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-08-25,53
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-01,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-08,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-15,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-22,52
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-09-29,56
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-06,53
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-13,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-20,55
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-10-27,50
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-03,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-10,54
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-17,53
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-11-24,52
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-01,55
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-08,55
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-15,60
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-22,59
00531a88-df47-522e-8dd0-b2ebe2542a7d,2023-12-29,67
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-03-27,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-03-29,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-05,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-12,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-19,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-04-26,2
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-03,5
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-10,6
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-17,6
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-24,6
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-05-31,25
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-07,36
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-14,36
0076d289-46a4-547f-8551-57e9c7b59a0d,2024-06-21,19
