sleeper_id,date,value
10210,2023-06-26,487
10210,2023-06-27,484
10210,2023-06-28,486
10210,2023-06-29,484
10210,2023-06-30,476
10210,2023-07-01,463
10210,2023-07-02,480
10210,2023-07-03,462
10210,2023-07-04,465
10210,2023-07-05,452
10210,2023-07-06,449
10210,2023-07-07,467
10210,2023-07-08,449
10210,2023-07-09,456
10210,2023-07-10,453
10210,2023-07-11,451
10210,2023-07-12,438
10210,2023-07-13,435
10210,2023-07-14,442
10210,2023-07-15,454
10210,2023-07-16,442
10210,2023-07-17,444
10210,2023-07-18,441
10210,2023-07-19,438
10210,2023-07-20,430
10210,2023-07-21,423
10210,2023-07-22,405
10210,2023-07-23,407
10210,2023-07-24,435
10210,2023-07-25,417
10210,2023-07-26,399
10210,2023-07-27,392
10210,2023-07-28,394
10210,2023-07-29,381
10210,2023-07-30,391
10210,2023-07-31,394
10210,2023-08-01,396
10210,2023-08-02,418
10210,2023-08-03,416
10210,2023-08-04,413
10210,2023-08-05,415
10210,2023-08-06,393
10210,2023-08-07,390
10210,2023-08-08,387
10210,2023-08-09,385
10210,2023-08-10,352
10210,2023-08-11,342
10210,2023-08-12,343
10210,2023-08-13,358
10210,2023-08-14,363
10210,2023-08-15,345
10210,2023-08-16,351
10210,2023-08-17,356
10210,2023-08-18,347
10210,2023-08-19,337
10210,2023-08-20,328
10210,2023-08-21,328
10210,2023-08-22,333
10210,2023-08-23,344
10210,2023-08-24,329
10210,2023-08-25,324
10210,2023-08-26,339
10210,2023-08-27,330
10210,2023-08-28,340
10210,2023-08-29,325
10210,2023-08-30,311
10210,2023-08-31,306
10210,2023-09-01,312
10210,2023-09-02,317
10210,2023-09-03,313
10210,2023-09-04,318
10210,2023-09-05,314
10210,2023-09-06,329
10210,2023-09-07,350
10210,2023-09-08,335
10210,2023-09-09,341
10210,2023-09-10,341
10210,2023-09-11,341
10210,2023-09-12,346
10210,2023-09-13,342
10210,2023-09-14,357
10210,2023-09-15,367
10210,2023-09-16,368
10210,2023-09-17,363
10210,2023-09-18,358
10210,2023-09-19,373
10210,2023-09-20,354
10210,2023-09-21,379
10210,2023-09-22,379
10210,2023-09-23,405
10210,2023-09-24,390
10210,2023-09-25,395
10210,2023-09-26,401
10210,2023-09-27,386
10210,2023-09-28,392
10210,2023-09-29,407
10210,2023-09-30,423
10210,2023-10-01,398
10210,2023-10-02,408
10210,2023-10-03,399
10210,2023-10-04,404
10210,2023-10-05,405
10210,2023-10-06,425
10210,2023-10-07,441
10210,2023-10-08,436
10210,2023-10-09,431
10210,2023-10-10,422
10210,2023-10-11,392
10210,2023-10-12,408
10210,2023-10-13,428
