sleeper_id,full_name,position
8117,Jalen Tolbert,WR
8162,Sam Howell,QB
4454,Kendrick Bourne,WR
5987,Alexander Mattison,RB
11599,Cade Stover,TE
232,Frank Gore,RB
5906,Dawson Knox,TE
2028,Derek Carr,QB
9487,Parker Washington,WR
11616,Jacob Cowing,WR
4951,DJ Chark,WR
7562,Tutu Atwell,WR
9505,Deuce Vaughn,RB
11562,Spencer Rattler,QB
10871,Luke Schoonmaker,TE
6011,Gardner Minshew,QB
10213,Tre Tucker,WR
7049,Jauan Jennings,WR
7002,Juwan Johnson,TE
6828,AJ Dillon,RB
8147,John Metchie,WR
10223,Eric Gray,RB
10219,Chris Rodriguez,RB
6820,Clyde Edwards-Helaire,RB
6149,Darius Slayton,WR
4993,Mike Gesicki,TE
4144,Jonnu Smith,TE
7567,Kenneth Gainwell,RB
6151,Miles Sanders,RB
8204,Bo Melton,WR
9479,Darnell Washington,TE
7568,Brevin Jordan,TE
10444,Cedric Tillman,WR
11636,Johnny Wilson,WR
9227,Israel Abanikanda,RB
5133,Tyler Conklin,TE
8168,Skyy Moore,WR
7066,K.J. Osborn,WR
11595,Jared Wiley,TE
6886,Chase Claypool,WR
7593,Trey Sermon,RB
10226,Andrei Iosivas,WR
4111,D'Onta Foreman,RB
4171,Josh Reynolds,WR
11306,Xavier Gipson,WR
6865,Colby Parkinson,TE
10866,Aidan O'Connell,QB
5995,Justice Hill,RB
8125,Calvin Austin,WR
11633,Jamari Thrash,WR
7828,Noah Gray,TE
11748,Bub Means,WR
4234,Noah Brown,WR
9512,DeWayne McBride,RB
11615,Ainias Smith,WR
9506,Sean Tucker,RB
11571,Isaiah Davis,RB
9222,Zach Evans,RB
8153,Isaiah Spiller,RB
4943,Sam Darnold,QB
4381,Taysom Hill,TE
8188,Tyquan Thornton,WR
6824,Donovan Peoples-Jones,WR
11580,Dillon Johnson,RB
7610,Trey Lance,QB
6920,Isaiah Hodgins,WR
10218,Xavier Hutchinson,WR
5038,Michael Gallup,WR
8800,Malik Davis,RB
3271,Tyler Higbee,TE
2078,Odell Beckham,WR
10214,Davis Allen,TE
11568,Blake Watson,RB
11590,Jase McClellan,RB
9504,Kayshon Boutte,WR
6805,KJ Hamler,WR
9489,Justin Shorter,WR
7606,Kadarius Toney,WR
9490,Tyler Scott,WR
8118,David Bell,WR
7794,Chris Evans,RB
4040,JuJu Smith-Schuster,WR
3286,Demarcus Robinson,WR
6126,Irv Smith,TE
4973,Hayden Hurst,TE
6074,Donald Parham,TE
5086,Marquez Valdes-Scantling,WR
7565,Terrace Marshall,WR
11652,Louis Rees-Zammit,RB
5917,Mecole Hardman,WR
7587,Dyami Brown,WR
7694,Tommy Tremble,TE
8116,Pierre Strong,RB
11729,Sione Vaki,RB
10234,Derius Davis,WR
11821,Tahj Washington,WR
8408,Jordan Mason,RB
5880,Parris Campbell,WR
9480,Brenton Strange,TE
8140,Justyn Ross,WR
11199,Emari Demercado,RB
8221,Keaontay Ingram,RB
5010,Will Dissly,TE
6853,Van Jefferson,WR
7607,Michael Carter,RB
10867,Jake Bobo,WR
10228,Charlie Jones,WR
4089,Gerald Everett,TE
8145,Jeremy Ruckert,TE
3257,Jacoby Brissett,QB
9495,Rakim Jarrett,WR
8174,Kevin Harris,RB
6144,Trayveon Williams,RB
6847,Devin Duvernay,WR
8214,Cole Turner,TE
8211,Tyrion Davis-Price,RB
10216,Kenny McIntosh,RB
4147,Samaje Perine,RB
5185,Allen Lazard,WR
11603,AJ Barner,TE
11567,Jordan Travis,QB
6849,Denzel Mims,WR
11370,Chris Brooks,RB
4149,Jamaal Williams,RB
6039,Ty Johnson,RB
3634,Kalif Raymond,WR
8122,Zonovan Knight,RB
8171,Kyle Philips,WR
5854,Drew Lock,QB
6927,Quez Watkins,WR
10221,Ronnie Bell,WR
5347,Nyheim Hines,RB
9998,Hendon Hooker,QB
1339,Zach Ertz,TE
5374,Justin Watson,WR
10870,Deneric Prince,RB
7602,Kylen Granson,TE
8123,Hassan Haskins,RB
7045,Joshua Kelley,RB
8160,Kenny Pickett,QB
6989,Marquez Callaway,WR
6869,Adam Trautman,TE
6694,D'Ernest Johnson,RB
10210,Cameron Latu,TE
11435,Emanuel Wilson,RB
11588,Jawhar Jordan,RB
11311,Jason Brownlee,WR
8195,Ronnie Rivers,RB
6814,Laviska Shenault,WR
6421,Jalen Guyton,WR
10231,Elijah Higgins,TE
2306,Jameis Winston,QB
6960,Tyler Johnson,WR
4351,Tim Patrick,WR
6843,Albert Okwuegbunam,TE
11716,Tip Reiman,TE
7891,Brock Wright,TE
5985,Foster Moreau,TE
6234,Deonte Harty,WR
11210,Malik Heath,WR
7533,Anthony Schwartz,WR
6111,Jake Browning,QB
4029,Dalvin Cook,RB
8197,Peyton Hendershot,TE
10862,Dorian Thompson-Robinson,QB
5955,Hunter Renfrow,WR
5000,Chase Edmonds,RB
11783,Ryan Flournoy,WR
5113,Cedrick Wilson,WR
5046,Royce Freeman,RB
7496,Nick Westbrook-Ikhine,WR
5695,Brandon Powell,WR
8254,Julius Chestnut,RB
7538,Zach Wilson,QB
7757,Ben Skowronek,WR
6290,Scotty Miller,WR
6918,Salvon Ahmed,RB
5938,Lil'Jordan Humphrey,WR
6931,DeeJay Dallas,RB
7527,Mac Jones,QB
4985,Rashaad Penny,RB
8208,Tyler Badie,RB
6938,Cam Akers,RB
6271,Olamide Zaccheaus,WR
8180,Jalen Nailor,WR
4054,Mo Alie-Cox,TE
7595,Tylan Wallace,WR
5121,Braxton Berrios,WR
7535,Hunter Long,TE
6659,Craig Reynolds,RB
3199,Michael Thomas,WR
10220,Will Mallory,TE
6136,Jarrett Stidham,QB
8159,Desmond Ridder,QB
6951,Eno Benjamin,RB
5323,Equanimeous St. Brown,WR
4197,Isaiah McKenzie,WR
8114,Erik Ezukanma,WR
6850,Harrison Bryant,TE
7083,Tyler Huntley,QB
8176,Danny Gray,WR
4177,Mack Hollins,WR
6984,Tony Jones,RB
5973,Josh Oliver,TE
4179,Joshua Dobbs,QB
5409,Tanner Hudson,TE
5137,Richie James,WR
3202,Austin Hooper,TE
5154,Trent Sherfield,WR
4098,Kareem Hunt,RB
1535,Cordarrelle Patterson,RB
6598,Trenton Irwin,WR
7713,Jaelon Darden,WR
7605,Kyle Trask,QB
10860,Malik Cunningham,QB
11561,Michael Pratt,QB
8253,Deven Thompkins,WR
5089,Mike White,QB
4574,Cooper Rush,QB
6794,Justin Jefferson,WR
7564,Ja'Marr Chase,WR
6786,CeeDee Lamb,WR
9509,Bijan Robinson,RB
7547,Amon-Ra St. Brown,WR
11628,Marvin Harrison,WR
6955,James Robinson,RB
1352,Robert Woods,WR
7720,Kene Nwangwu,RB
8157,Bailey Zappe,QB
11256,Tyson Bagent,QB
19,Joe Flacco,QB
8161,Malik Willis,QB
7585,Davis Mills,QB
2711,Taylor Heinicke,QB
10217,Clayton Tune,QB
10857,Stetson Bennett,QB
11292,Tommy DeVito,QB
4972,Mason Rudolph,QB
1837,Jimmy Garoppolo,QB
827,Tyrod Taylor,QB
2251,Logan Thomas,TE
11557,Joe Milton,QB
